,id,day,country,hour,name,diagnose,suspect,cure,death,time,label,datex,continents,currentdiagnose,day.1,Clusters
94,2023250,,马约特,,马约特,7544,0,0,59,1611574245,,,非洲,7485,2021-01-25,0
95,2023251,,格鲁吉亚,,格鲁吉亚,253816,0,243396,3071,1611574245,,,亚洲,7349,2021-01-25,0
96,2023252,,委内瑞拉,,委内瑞拉,123245,0,115426,1142,1611574245,,,南美洲,6677,2021-01-25,0
97,2023253,,刚果（金）,,刚果（金）,21868,0,14834,660,1611574245,,,非洲,6374,2021-01-25,0
98,2023254,,马提尼克,,马提尼克,6370,0,0,44,1611574245,,,北美洲,6326,2021-01-25,0
99,2023255,,科威特,,科威特,161285,0,154253,952,1611574245,,,亚洲,6080,2021-01-25,0
100,2023256,,摩尔多瓦,,摩尔多瓦,156202,0,146948,3361,1611574245,,,欧洲,5893,2021-01-25,0
101,2023257,,叙利亚,,叙利亚,13628,0,7056,885,1611574245,,,亚洲,5687,2021-01-25,0
102,2023258,,阿塞拜疆,,阿塞拜疆,228975,0,220292,3082,1611574245,,,亚洲,5601,2021-01-25,0
103,2023259,,莱索托,,莱索托,7656,0,2168,123,1611574245,,,非洲,5365,2021-01-25,0
104,2023260,,阿富汗,,阿富汗,54595,0,46912,2378,1611574245,,,亚洲,5305,2021-01-25,0
105,2023261,,阿曼,,阿曼,133044,0,126262,1521,1611574245,,,亚洲,5261,2021-01-25,0
106,2023262,,萨尔瓦多,,萨尔瓦多,52672,0,46370,1551,1611574245,,,北美洲,4751,2021-01-25,0
107,2023263,,古巴,,古巴,21261,0,16387,194,1611574245,,,北美洲,4680,2021-01-25,0
108,2023264,,卢旺达,,卢旺达,12975,0,8420,174,1611574245,,,非洲,4381,2021-01-25,0
109,2023265,,卡塔尔,,卡塔尔,149019,0,144858,248,1611574245,,,亚洲,3913,2021-01-25,0
110,2023266,,塞内加尔,,塞内加尔,24727,0,20476,575,1611574245,,,非洲,3676,2021-01-25,0
111,2023267,,尼泊尔,,尼泊尔,269450,0,264137,2001,1611574245,,,亚洲,3312,2021-01-25,0
112,2023268,,加纳,,加纳,60794,0,57141,367,1611574245,,,非洲,3286,2021-01-25,0
113,2023269,,中非共和国,,中非共和国,4980,0,1924,63,1611574245,,,非洲,2993,2021-01-25,0
114,2023270,,泰国,,泰国,13687,0,10662,75,1611574245,,,亚洲,2950,2021-01-25,0
115,2023271,,巴林,,巴林,99817,0,96532,367,1611574245,,,亚洲,2918,2021-01-25,0
4,2023160,,巴西,,巴西,8844600,0,7653770,217081,1611574245,,,南美洲,973749,2021-01-25,1
15,2023171,,印度,,印度,10654533,0,10316786,153339,1611574245,,,亚洲,184408,2021-01-25,1
0,2023156,,美国,,美国,25127573,0,11130430,419220,1611574245,,,北美洲,13577923,2021-01-25,2
1,2023157,,英国,,英国,3647463,0,539,97939,1611574245,,,欧洲,3548985,2021-01-25,3
2,2023158,,西班牙,,西班牙,2499560,0,150376,55441,1611574245,,,欧洲,2293743,2021-01-25,3
3,2023159,,法国,,法国,3053617,0,1978756,73049,1611574245,,,欧洲,1001812,2021-01-25,3
8,2023164,,俄罗斯,,俄罗斯,3738690,0,3150763,69918,1611574245,,,欧洲,518009,2021-01-25 00:00:00,3
9,2023165,,意大利,,意大利,2466813,0,1882074,85461,1611574245,,,欧洲,499278,2021-01-25,3
11,2023167,,墨西哥,,墨西哥,1763219,0,1320448,149614,1611574245,,,北美洲,293157,2021-01-25,3
12,2023168,,德国,,德国,2147740,0,1807227,52777,1611574245,,,欧洲,287736,2021-01-25,3
14,2023170,,波兰,,波兰,1478119,0,1237736,35401,1611574245,,,欧洲,204982,2021-01-25,3
18,2023174,,阿根廷,,阿根廷,1867206,0,1656134,46827,1611574245,,,南美洲,164245,2021-01-25,3
22,2023178,,伊朗,,伊朗,1372977,0,1164794,57383,1611574245,,,亚洲,150800,2021-01-25,3
24,2023180,,南非,,南非,1412986,0,1230520,40874,1611574245,,,非洲,141592,2021-01-25,3
25,2023181,,哥伦比亚,,哥伦比亚,2013014,0,1832168,51374,1611574245,,,南美洲,129472,2021-01-25,3
30,2023186,,土耳其,,土耳其,2429605,0,2307721,25073,1611574245,,,亚洲,96811,2021-01-25,3
41,2023197,,秘鲁,,秘鲁,1099013,0,1012450,39777,1611574245,,,南美洲,46786,2021-01-25,3
